,city,state,zip,longitude,latitude,dma region,state abr,criteria id,"""blockFips""","""incomeBelowPoverty""",medianIncome,incomeLessThan25,"incomeBetween25to50""",incomeBetween50to100,incomeBetween100to200,incomeGreater200,educationHighSchoolGraduate,educationBachelorOrGreater
15035,Aubrey,Texas,76227,-96.99457,33.274761,Dallas-Ft. Worth,TX,1026200.0,481210201032080,0.081,76119.0,0.1056,0.2073,0.4205,0.2665,0.0642,0.8333,0.1705
15036,Bowie,Texas,76230,-97.88575,33.54007,Wichita Falls,TX,,483379504002162,0.161,49853.0,0.186,0.4055,0.2896,0.0732,0.0457,0.736,0.0886
15037,Collinsville,Texas,76233,-96.89419,33.542765,Sherman,TX,,481810019005091,0.149,57597.0,0.2178,0.2795,0.4356,0.1096,0.0,0.7979,0.1038
15038,Decatur,Texas,76234,-97.55657,33.263039,Dallas-Ft. Worth,TX,1026344.0,484971502001007,0.125,48289.0,0.1019,0.4429,0.3919,0.0527,0.0105,0.6298,0.0953
15039,Justin,Texas,76247,-97.30384,33.08704,Dallas-Ft. Worth,TX,1026512.0,481210203093050,0.081,73154.0,0.1345,0.2446,0.3451,0.288,0.0136,0.815,0.2116
15040,Keller,Texas,76248,-97.2506,32.92704,Dallas-Ft. Worth,TX,1026518.0,484391138161010,0.144,116536.0,0.0655,0.0664,0.2613,0.4538,0.1597,0.9893,0.5058
15041,Krum,Texas,76249,-97.24859,33.270036,Dallas-Ft. Worth,TX,1026532.0,481210202022045,0.081,68418.0,0.1069,0.231,0.4943,0.169,0.0184,0.8806,0.2408
15042,Montague,Texas,76251,-97.71727,33.660084,Wichita Falls,TX,,483379506002075,0.161,42019.0,0.3778,0.2897,0.2872,0.1234,0.0025,0.7483,0.1015
15043,Muenster,Texas,76252,-97.38029,33.661889,Dallas-Ft. Worth,TX,1026641.0,480970002003015,0.151,58550.0,0.1538,0.2862,0.3785,0.1769,0.0415,0.8131,0.1575
15044,Pilot Point,Texas,76258,-96.95213,33.385645,Dallas-Ft. Worth,TX,1026689.0,481210201042051,0.081,128922.0,0.115,0.0466,0.2213,0.4323,0.1849,0.895,0.2249
15045,Ponder,Texas,76259,-97.29676,33.187644,Dallas-Ft. Worth,TX,1026699.0,481210203092068,0.081,78283.0,0.1193,0.1747,0.4752,0.2121,0.0309,0.8241,0.1129
15046,Trophy Club,Texas,76262,-97.21871,33.000177,Dallas-Ft. Worth,TX,9053007.0,481210203061037,0.081,50210.0,0.1829,0.3364,0.3872,0.0681,0.0254,0.819,0.2381
15047,Sadler,Texas,76264,-96.83792,33.748414,Sherman,TX,,481810003042073,0.149,73736.0,0.1158,0.2825,0.3228,0.2912,0.0211,0.7402,0.1225
15048,Sanger,Texas,76266,-97.18944,33.358871,Dallas-Ft. Worth,TX,9052806.0,481210202023002,0.081,58641.0,0.202,0.2461,0.2975,0.2415,0.045,0.8711,0.1745
15049,Tioga,Texas,76271,-96.91632,33.469076,Sherman,TX,,481810019004073,0.149,37960.0,0.285,0.37,0.2825,0.115,0.0,0.7524,0.1156
15050,Valley View,Texas,76272,-97.12259,33.482548,Dallas-Ft. Worth,TX,1026859.0,480970009002076,0.151,67533.0,0.1613,0.3311,0.416,0.1188,0.0594,0.8474,0.1353
15051,Whitesboro,Texas,76273,-96.91786,33.705904,Sherman,TX,,481810011021026,0.149,70996.0,0.0914,0.2867,0.3304,0.2857,0.0428,0.8491,0.201
15052,Wichita Falls,Texas,76301,-98.47132,33.916497,Wichita Falls,TX,,484850104001006,0.171,18072.0,0.5967,0.1852,0.2181,0.0,0.0,0.6288,0.0773
15053,Wichita Falls,Texas,76302,-98.4801,33.85379,Wichita Falls,TX,,484850115002005,0.171,65846.0,0.0506,0.3671,0.3249,0.2574,0.0,0.9391,0.1408
15054,Wichita Falls,Texas,76305,-98.51781,33.996515,Wichita Falls,TX,,484850112001024,0.171,47658.0,0.1281,0.452,0.3114,0.1388,0.0214,0.7161,0.0689
15055,Wichita Falls,Texas,76306,-98.51923,33.942496,Wichita Falls,TX,,484850132005019,0.171,27428.0,0.4418,0.4119,0.1851,0.0,0.0,0.6911,0.1018
15056,Wichita Falls,Texas,76308,-98.54064,33.859798,Wichita Falls,TX,,484850121001021,0.171,45863.0,0.229,0.4829,0.3489,0.0358,0.0,0.8643,0.1601
