name,city,state,state_url,school_name,player_url
"Purvis Short","Hattiesburg","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Blair","http://www.basketball-reference.com/players/s/shortpu01.html"
"Larry Smith","Hollandale","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Simmons","http://www.basketball-reference.com/players/s/smithla01.html"
"John Stroud","Myrtle","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","West Union","http://www.basketball-reference.com/players/s/stroujo01.html"
"Red Stroud","Forest","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Forest","http://www.basketball-reference.com/players/s/stroure01.html"
"Cornell Warner","Jackson","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Lanier","http://www.basketball-reference.com/players/w/warneco01.html"
"Eric Washington","Pearl","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Pearl","http://www.basketball-reference.com/players/w/washier01.html"
"Slick Watts","Rolling Fork","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Henry Weather","http://www.basketball-reference.com/players/w/wattssl01.html"
"Clarence Weatherspoon","Columbus","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Motley","http://www.basketball-reference.com/players/w/weathcl01.html"
"Dwayne Whitfield","Aberdeen","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Aberdeen","http://www.basketball-reference.com/players/w/whitfdw01.html"
"Mo Williams","Jackson","Mississippi","http://www.basketball-reference.com/friv/high_schools.cgi?state=MS","Murrah","http://www.basketball-reference.com/players/w/willima01.html"
"Blake Ahearn","Creve Coeur","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","De Smet Jesuit","http://www.basketball-reference.com/players/a/ahearbl01.html"
"Matthew Aitch","Maplewood","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Maplewood-Richmond Heights","http://www.basketball-reference.com/players/a/aitchma01.html"
"Kim Anderson","Sedali","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Smith-Cotton","http://www.basketball-reference.com/players/a/anderki01.html"
