City,State Abr,Zip Code,Longitude,DMA Region,State,Latitude
"Addington","OK",73520,-97.93843,"","Oklahoma",34.243494
"Addis","LA",70710,-91.26121000000001,716,"Louisiana",30.350306
"Addison Township","MI",48367,-83.14416,"","Michigan",42.838438
"Addison","AL",35540,-87.17232,630,"Alabama",34.223057
"Addison","IL",60101,-88.00221999999999,602,"Illinois",41.931573
"Addison","ME",4606,-67.70122000000001,537,"Maine",44.556073
"Addison","MI",49220,-84.3329,547,"Michigan",41.992765
"Addison","NY",14801,-77.28857000000001,565,"New York",42.104389
"Addison","PA",15411,-79.35113,574,"Pennsylvania",39.751296
"Addison","TX",75001,-96.83750999999999,623,"Texas",32.96129
"Addy","WA",99101,-117.94318,881,"Washington",48.305861
"Addyston","OH",45001,-84.7079,"","Ohio",39.137818
"Adel","GA",31620,-83.42735999999999,525,"Georgia",31.133004
"Adel","IA",50003,-94.03587,679,"Iowa",41.612628
"Adel","OR",97620,-119.88141,"","Oregon",42.227477
"Adelaide","CA",93446,-120.70418,"","California",35.640589
"Adelanto","CA",92301,-117.50803,803,"California",34.641695
"Adell","WI",53001,-88.03046999999999,"","Wisconsin",43.61014
"Adelphi","MD",20783,-76.97293999999999,511,"Maryland",38.98941
"Adelphi","OH",43101,-82.7457,"","Ohio",39.466041
"Adena","OH",43901,-80.87017,"","Ohio",40.223285
"Adger","AL",35006,-87.23957,630,"Alabama",33.451714
"Adin","CA",96006,-120.90294,"","California",41.190742
"Adirondack","NY",12808,-73.76206000000001,532,"New York",43.758733
"Adjuntas","PR",601,-66.74947,"","Puerto Rico",18.180103
"Adkins","TX",78101,-98.21887,"","Texas",29.326804
"Admire","KS",66830,-96.08821,"","Kansas",38.614057
"Adolphus","KY",42120,-86.25964,"","Kentucky",36.661883
"Adona","AR",72001,-92.88762,693,"Arkansas",35.058503
"Adrian","GA",31002,-82.56948,"","Georgia",32.549854
"Adrian","MI",49221,-84.04585,547,"Michigan",41.900927
"Adrian","MN",56110,-95.93973,725,"Minnesota",43.626278
"Adrian","MO",64720,-94.34511999999999,616,"Missouri",38.40388
"Adrian","ND",58472,-98.63923,"","North Dakota",46.638134
"Adrian","OR",97901,-117.07192,757,"Oregon",43.661247
"Adrian","PA",16210,-79.52058,"","Pennsylvania",40.885328
"Adrian","TX",79001,-102.71795,"","Texas",35.2195
"Adrian","WV",26210,-80.26795,"","West Virginia",38.900064
"Advance Mills","VA",22968,-78.41009,"","Virginia",38.233717
"Advance","IN",46102,-86.61928,"","Indiana",39.996577
"Advance","MO",63730,-89.91359,632,"Missouri",37.101789
"Advance","NC",27006,-80.44132,518,"North Carolina",35.954679
"Advent","WV",25231,-81.57934,"","West Virginia",38.597265
"Affton","MO",63123,-90.32525,609,"Missouri",38.549452
"Afton","IA",50830,-94.21128,679,"Iowa",41.029408
"Afton","MI",49705,-84.47898000000001,"","Michigan",45.355074
"Afton","MN",55001,-92.81904,613,"Minnesota",44.903133
"Afton","NY",13730,-75.53429,502,"New York",42.232991
"Afton","TN",37616,-82.74704,"","Tennessee",36.218863
"Afton","TX",79220,-100.76393,"","Texas",33.749303
"Afton","VA",22920,-78.79701,573,"Virginia",37.987812
"Afton","WY",83110,-110.92196,770,"Wyoming",42.681301
"Agar","SD",57520,-100.11167,725,"South Dakota",44.830961
"Agate","CO",80101,-104.02409,751,"Colorado",39.378712
"Agate","ND",58310,-99.63453,"","North Dakota",48.617378
"Agawam","MA",1001,-72.62029,543,"Massachusetts",42.07061
"Agency Village","SD",57262,-97.04528000000001,"","South Dakota",45.667565
"Agency","IA",52530,-92.30407,631,"Iowa",40.995466
"Agency","MO",64401,-94.72215,638,"Missouri",39.627397
"Agenda","KS",66930,-97.49191,"","Kansas",39.718857
"Ages Brookside","KY",40801,-83.25279999999999,557,"Kentucky",36.858906
"Agness","OR",97406,-124.05435,813,"Oregon",42.625928
"Agnew","NE",68428,-96.82364,"","Nebraska",40.969816
"Agnos","AR",72513,-91.63703,"","Arkansas",36.24564
"Agra","KS",67621,-99.13229,"","Kansas",39.792611
"Agra","OK",74824,-96.86735,650,"Oklahoma",35.883914
"Agricola","MS",39452,-88.58869,"","Mississippi",30.873353
"Agua Dulce","CA",91350,-118.42821,"","California",34.481172
"Agua Dulce","TX",78330,-97.90134,"","Texas",27.782267
"Aguada","PR",602,-67.18024,"","Puerto Rico",18.363285
"Aguadilla","PR",603,-67.13422,"","Puerto Rico",18.448619
"Aguadilla","PR",604,-67.13699,"","Puerto Rico",18.498987
"Aguanga","CA",92536,-116.82004,"","California",33.485978
"Aguas Buenas","PR",703,-66.12827,"","Puerto Rico",18.246205
"Aguila","AZ",85320,-113.19837,"","Arizona",33.945183
"Aguilar","CO",81020,-104.66016,"","Colorado",37.400041
"Aguirre","PR",704,-66.22291,"","Puerto Rico",17.970112
"Ahmeek","MI",49901,-88.39491,"","Michigan",47.297841
"Ahoskie","NC",27910,-76.98612,544,"North Carolina",36.293352
"Ahsahka","ID",83520,-116.3187,"","Idaho",46.505902
"Ahwahnee","CA",93601,-119.72439,"","California",37.388698
"Aibonito","PR",705,-66.26541,"","Puerto Rico",18.12942
"Aiea","HI",96701,-157.93091,744,"Hawaii",21.389167
"Aiken","SC",29801,-81.71368,520,"South Carolina",33.569885
"Aiken","SC",29803,-81.70946000000001,"","South Carolina",33.486049
"Aiken","SC",29805,-81.61561,"","South Carolina",33.650812
"Ailey","GA",30410,-82.50985,"","Georgia",32.196136
"Aimwell","LA",71401,-91.97998,"","Louisiana",31.769334
"Ainsworth","IA",52201,-91.54755,637,"Iowa",41.320371
"Ainsworth","NE",69210,-99.88206,722,"Nebraska",42.530382
"Airville","PA",17302,-76.40849,"","Pennsylvania",39.80954
"Airway Heights","WA",99001,-117.59149,881,"Washington",47.642922
"Aitkin","MN",56431,-93.66458,613,"Minnesota",46.507241
"Akaska","SD",57420,-100.12424,"","South Dakota",45.327593
"Akeley","MN",56433,-94.70511999999999,"","Minnesota",46.977161
"Akhiok","AK",99615,-152.51142,"","Alaska",57.74663
"Akiachak","AK",99551,-161.42393,"","Alaska",60.88981
"Akiak","AK",99552,-161.22577,"","Alaska",60.911865
"Akron","AL",35441,-87.73326,"","Alabama",32.871514
"Akron","CO",80720,-103.18362,751,"Colorado",40.124199
"Akron","IN",46910,-86.03829,588,"Indiana",41.040643
"Akron","IA",51001,-96.48967,624,"Iowa",42.819093
"Akron","MI",48701,-83.53467999999999,"","Michigan",43.587817
"Akron","NY",14001,-78.50414000000001,514,"New York",43.024559
"Akron","OH",44301,-81.51918999999999,510,"Ohio",41.043955
"Akron","OH",44302,-81.53973000000001,"","Ohio",41.089405
"Akron","OH",44303,-81.53625,"","Ohio",41.103205
"Akron","OH",44304,-81.50745000000001,"","Ohio",41.081788
"Akron","OH",44305,-81.46278,"","Ohio",41.073606
"Akron","OH",44306,-81.49039,"","Ohio",41.046055
"Akron","OH",44307,-81.54591000000001,"","Ohio",41.069605
"Akron","OH",44308,-81.51813,"","Ohio",41.081755
"Akron","OH",44310,-81.50091,"","Ohio",41.107655
"Akron","OH",44311,-81.51906,"","Ohio",41.063055
"Akron","OH",44312,-81.43944,"","Ohio",41.034156
"Akron","OH",44313,-81.57129,"","Ohio",41.123588
"Akron","OH",44314,-81.55914,"","Ohio",41.040155
"Akron","OH",44319,-81.52952999999999,"","Ohio",40.990922
"Akron","OH",44320,-81.57022000000001,"","Ohio",41.083155
"Akron","OH",44322,-81.58535999999999,"","Ohio",41.043496
"Akron","PA",17501,-76.20399999999999,566,"Pennsylvania",40.156472
"Akutan","AK",99553,-165.88176,"","Alaska",54.098693
"Alabaster","AL",35007,-86.80871,630,"Alabama",33.232422
"Alachua","FL",32616,-82.49351,592,"Florida",29.790674
"Aladdin","WY",82710,-104.22425,"","Wyoming",44.776684
"Alakanuk","AK",99554,-164.65455,"","Alaska",62.683391
"Alameda","CA",94502,-122.23952,807,"California",37.734379
"Alameda","NM",87114,-106.67336,"","New Mexico",35.196446
"Alamo Heights","TX",78209,-98.4568,641,"Texas",29.48618
"Alamo","CA",94507,-122.02488,807,"California",37.856683
"Alamo","GA",30411,-82.792,503,"Georgia",32.146031
"Alamo","IN",47916,-87.05507,"","Indiana",39.983709
"Alamo","NV",89001,-115.31502,"","Nevada",37.381946
"Alamo","NM",87825,-107.36816,"","New Mexico",34.139451
"Alamo","TN",38001,-89.14015999999999,640,"Tennessee",35.796157
"Alamo","TX",78516,-98.11969000000001,636,"Texas",26.175021
"Alamogordo","NM",88310,-105.97561,790,"New Mexico",32.839921
"Alamosa","CO",81101,-105.83471,751,"Colorado",37.471802
"Alamota","KS",67839,-100.43776,"","Kansas",38.514924
"Alanreed","TX",79002,-100.74939,"","Texas",35.201105
"Alanson","MI",49706,-84.77654,540,"Michigan",45.431122
"Alapaha","GA",31622,-83.21803,"","Georgia",31.379665
"Alba","MI",49611,-84.97282,540,"Michigan",44.976915
"Alba","MO",64830,-94.42086999999999,"","Missouri",37.236623
"Alba","TX",75410,-95.63182,709,"Texas",32.793512
"Albany","CA",94706,-122.29371,807,"California",37.889125
"Albany","GA",31701,-84.16043999999999,525,"Georgia",31.580774
"Albany","GA",31707,-84.22644,"","Georgia",31.568073
"Albany","IL",61230,-90.22322,"","Illinois",41.766003
"Albany","IN",47320,-85.25293000000001,527,"Indiana",40.290747
"Albany","KY",42602,-85.13539,659,"Kentucky",36.72024
"Albany","LA",70711,-90.58546,"","Louisiana",30.508318
"Albany","MN",56307,-94.58257,613,"Minnesota",45.632455
"Albany","MO",64402,-94.33216,616,"Missouri",40.247423
"Albany","NY",12202,-73.76061,532,"New York",42.640129
"Albany","NY",12204,-73.73329,"","New York",42.683727
"Albany","NY",12206,-73.77719,"","New York",42.669645
"Albany","NY",12207,-73.74833,"","New York",42.653979
"Albany","NY",12208,-73.80052999999999,"","New York",42.654978
"Albany","NY",12209,-73.7856,"","New York",42.640813
"Albany","NY",12210,-73.75894,"","New York",42.656679
"Albany","OH",45710,-82.21420999999999,535,"Ohio",39.202517
"Albany","OK",74721,-96.17243999999999,"","Oklahoma",33.888549
"Albany","OR",97321,-123.0896,820,"Oregon",44.635395
"Albany","TX",76430,-99.27518999999999,662,"Texas",32.742591
