follower_id,following,screen_name,is_geo_enabled
1323297793,"mitchrichmond23","lundin44",false
2214053379,"mitchrichmond23","ryanbeemer",false
2287207154,"mitchrichmond23","jgavero",false
22319967,"mitchrichmond23","PROTOTYPEPHAY",false
159296382,"mitchrichmond23","lilyoungfresh",false
28480956,"mitchrichmond23","JerJohnPhoto",false
504881980,"mitchrichmond23","LetsGoSac",false
2272638856,"mitchrichmond23","alexhonka87",false
425233540,"mitchrichmond23","dthomas702",false
153883071,"mitchrichmond23","ballplayer1976",true
1291538678,"mitchrichmond23","souluisa",false
755641717,"mitchrichmond23","ShecterJoshua",true
2268844184,"mitchrichmond23","JoshuaMymom",false
1467405332,"mitchrichmond23","BLESSED_TONY_O",true
2281429212,"mitchrichmond23","tracy_gerald",false
2272398192,"mitchrichmond23","JeffreyPerrine",false
2192745098,"mitchrichmond23","DebMyhr",false
246881289,"mitchrichmond23","Jim_Wollen",true
2238325560,"mitchrichmond23","Sacto_Realtor",false
319529691,"mitchrichmond23","OfficialStuntz",true
2278367310,"mitchrichmond23","plzFolw_Q_acy5",false
246457149,"mitchrichmond23","MariaTZumba",false
372610057,"mitchrichmond23","TeamUpcups",false
94179641,"mitchrichmond23","THENobodySpcl",false
1637570731,"mitchrichmond23","KingsGirl520",false
457432645,"mitchrichmond23","JacobMaher78",false
210194637,"mitchrichmond23","r_senter",true
1666424138,"mitchrichmond23","FuadValizadeh",true
938117509,"mitchrichmond23","Lynneplum612",true
2275950714,"mitchrichmond23","jason_wyre",false
2255156689,"mitchrichmond23","notrealPeja16",false
941729221,"mitchrichmond23","NBA__Quotes",false
2207463312,"mitchrichmond23","Burritoman78",true
922830416,"mitchrichmond23","DJGenesisGeroni",true
631062728,"mitchrichmond23","OMJuwara",false
79131180,"mitchrichmond23","KILMENAO",true
16157412,"mitchrichmond23","stevenpmullins",false
2243044488,"mitchrichmond23","JacobZiegenhirt",false
746188201,"mitchrichmond23","HaloHospitality",false
1802323424,"mitchrichmond23","ITs_Headband",false
2268251053,"mitchrichmond23","TheSacBoogieMan",false
259470496,"mitchrichmond23","Akiimura",false
1061393810,"mitchrichmond23","aLeX_Cikilev",false
2266564760,"mitchrichmond23","NBAValidated",false
47808105,"mitchrichmond23","anothertebow",false
17617227,"mitchrichmond23","ArashMarkazi",true
2266400162,"mitchrichmond23","JillOst",false
1398606812,"mitchrichmond23","matthew_seibel",false
2265504690,"mitchrichmond23","lacokcpor300",false
722151943,"mitchrichmond23","jlutter15",false
1699788800,"mitchrichmond23","KCleveland381",false
610761732,"mitchrichmond23","CubbageJavon",true
2263893494,"mitchrichmond23","TheNBASpotlight",false
2264302580,"mitchrichmond23","Realboyfriends_",false
843823843,"mitchrichmond23","bsmithhh07",false
2163480953,"mitchrichmond23","auntieadepa",false
148542284,"mitchrichmond23","boiboidice",false
37243701,"mitchrichmond23","muggsytobs",false
2262154004,"mitchrichmond23","jpstark05",false
62715093,"mitchrichmond23","PamelaMcGee34",true
444147620,"mitchrichmond23","ARStuewe",false
41767355,"mitchrichmond23","MURILLO661",false
2214654259,"mitchrichmond23","mancaveultimate",true
525906093,"mitchrichmond23","ZachNock",false
442270315,"mitchrichmond23","RichardGoody",false
1661030132,"mitchrichmond23","BluenyPaul",false
1586764063,"mitchrichmond23","Gurveer_23",false
30906114,"mitchrichmond23","WGGotBounce",true
2260182757,"mitchrichmond23","biboyXXIV",false
2235730981,"mitchrichmond23","savrajbisla",false
1301777070,"mitchrichmond23","maticrazy23",false
162210092,"mitchrichmond23","BethSilverberg",false
219603810,"mitchrichmond23","alisiddiqui23",false
41429372,"mitchrichmond23","noddiethe001",false
433955480,"mitchrichmond23","BigVeep10",false
1463014478,"mitchrichmond23","NYYYANKEES10",false
2258068482,"mitchrichmond23","eugenebrown_2",false
335091935,"mitchrichmond23","bball_bates",true
16897151,"mitchrichmond23","minpinbud",false
348290843,"mitchrichmond23","Graphwize",false
159221708,"mitchrichmond23","samzombee",true
378359479,"mitchrichmond23","DesertDime",true
1215840500,"mitchrichmond23","ScottChernin",false
1066961394,"mitchrichmond23","jakepav9",false
1002103350,"mitchrichmond23","CoachJeromeJ",true
812523601,"mitchrichmond23","under_the_hoop",true
384933771,"mitchrichmond23","OG_Professor",false
30924507,"mitchrichmond23","KristineLeahy",false
552603556,"mitchrichmond23","JLDaniells",false
426951831,"mitchrichmond23","curtismharris",false
509546948,"mitchrichmond23","m709nhra",false
475628241,"mitchrichmond23","thecarlpayne",false
380383632,"mitchrichmond23","ednmylene",false
2224209967,"mitchrichmond23","spearson4327",false
193140792,"mitchrichmond23","hockeydad11",false
75222436,"mitchrichmond23","InvestnetCRE",true
1030310335,"mitchrichmond23","thesoria6",true
415111295,"mitchrichmond23","adamkatsch",true
23151499,"mitchrichmond23","robgoodwinjr",true
207003812,"mitchrichmond23","NelloLife",true
453530459,"mitchrichmond23","BrentDickinson",false
392857575,"mitchrichmond23","LifeLiver_JayR",false
1573263613,"mitchrichmond23","DavidNurse05",true
163391653,"mitchrichmond23","JesseRanney",false
1426506649,"mitchrichmond23","CJsacramento",false
315336680,"mitchrichmond23","DanBergal",false
2224964850,"mitchrichmond23","mrchhiev",true
2203869057,"mitchrichmond23","RelloBeats",false
19557575,"mitchrichmond23","bringmedabir",true
55361746,"mitchrichmond23","TrempsRoso",false
2238376309,"mitchrichmond23","hoopsmachine",false
2212877607,"mitchrichmond23","herschstrong",false
2236722535,"mitchrichmond23","_TwiceAsNice",false
208256227,"mitchrichmond23","octagonofdoom",false
737207216,"mitchrichmond23","ksumark98",false
1526480353,"mitchrichmond23","ST999989",false
93281545,"mitchrichmond23","ryanlewis90",true
1950045386,"mitchrichmond23","KHilario82",false
2228141736,"mitchrichmond23","Stefano_Taglia",false
17207474,"mitchrichmond23","JediYank",false
737176316,"mitchrichmond23","SFSkeptic",false
2233651800,"mitchrichmond23","lanbafan91",false
260920609,"mitchrichmond23","plushlifeevents",false
2232806598,"mitchrichmond23","deb_mira",true
271661345,"mitchrichmond23","Scott_Rossow",true
2194933540,"mitchrichmond23","Owner46213217",false
1883863759,"mitchrichmond23","KingsandJaxs",false
874170618,"mitchrichmond23","19_Gonzalez_89",false
2171131176,"mitchrichmond23","jedong10",false
1007003178,"mitchrichmond23","NocoBeats",true
768500784,"mitchrichmond23","melissajesq",false
164523798,"mitchrichmond23","JohnsBarelyHome",false
389620823,"mitchrichmond23","SeanRooks45",false
1001821386,"mitchrichmond23","Mann_Toot",false
330540019,"mitchrichmond23","SakKings",false
542162304,"mitchrichmond23","mikehelms54",true
2223744696,"mitchrichmond23","iink_Nation",false
176878950,"mitchrichmond23","CAnewhomesagent",false
158126370,"mitchrichmond23","Pinoybrand",true
2225170111,"mitchrichmond23","SkyhookThurmond",false
298891072,"mitchrichmond23","shiftyshivers",false
327265337,"mitchrichmond23","Skip_Carlson",true
52452247,"mitchrichmond23","2Racoons",false
6184582,"mitchrichmond23","JulieGallaher",true
1970398459,"mitchrichmond23","denshadorabushi",true
235407313,"mitchrichmond23","kcksucat",false
2219657287,"mitchrichmond23","ed_ranz",true
443197829,"mitchrichmond23","haight_kyle",true
174973078,"mitchrichmond23","louis_ciou",true
55134661,"mitchrichmond23","bgdeltagirl",false
2218310124,"mitchrichmond23","TeamPizzaGuy",false
37831365,"mitchrichmond23","jwalters_seton",false
2148083772,"mitchrichmond23","cardellasarts",false
137095364,"mitchrichmond23","Anovak32",true
2216518434,"mitchrichmond23","jombay91",false
1257268165,"mitchrichmond23","SeniorSeau55",false
2216110561,"mitchrichmond23","mbembecher",true
2176439432,"mitchrichmond23","marq_sr",false
23113399,"mitchrichmond23","sophiashoewhore",true
481643631,"mitchrichmond23","LittleRyuMoniz",true
2169354841,"mitchrichmond23","saucedhouse",false
2212774748,"mitchrichmond23","lilsainsbury",false
23825303,"mitchrichmond23","ABC7Elex",true
7331862,"mitchrichmond23","robbhunt",true
2211429416,"mitchrichmond23","Tonylew1976",true
2210044765,"mitchrichmond23","Sportstalkfanpg",false
2210751379,"mitchrichmond23","ewhy20",false
2192298033,"mitchrichmond23","Nbajunkie35",false
21840233,"mitchrichmond23","mmafreak100",true
2205414211,"mitchrichmond23","mikesniz916",false
229245090,"mitchrichmond23","AlexCalinsky",false
2206458944,"mitchrichmond23","RoyalQuart",false
34081596,"mitchrichmond23","DanWoikeSports",false
276525320,"mitchrichmond23","97KState",false
750029894,"mitchrichmond23","Purple_Casey_C",false
246864992,"mitchrichmond23","jstrohl152",false
1704098503,"mitchrichmond23","ColinXTHH",true
2196677198,"mitchrichmond23","nbashan2",false
2171854562,"mitchrichmond23","32omahastylee32",false
22345605,"mitchrichmond23","AAAmpania",true
131118617,"mitchrichmond23","InShowWeTrust",true
