Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends
512,Bryce Cotton,SAS,$50000,,,,,,,$50000,,,,,,,,,,
257,C.J. McCollum,POR,$2421000,$2525160,$3219579,,,,1st Round Pick,$4946160,,,,,,,,,,
173,C.J. Miles,IND,$4205000,$4394225,$4583450,$4772675,,,MLE,$13182675,,,,,,,,,,
270,C.J. Watson,IND,$2106720,,,,,,BAE,$2106720,,,,,,,,,,
365,C.J. Wilcox,LAC,$1109760,$1159680,$1209680,$2183328,,,1st Round Pick,$2269440,,,,,,,,,,
470,Cameron Bairstow,CHI,$507336,$845059,$980431,,,,Cap Space,$932336,,,,,,,,,,
115,Carl Landry,SAC,$6500000,$6500000,$6500000,,,,Cap Space,$19500000,,,,,,,,,,
34,Carlos Boozer,CHI,$13550000,,,,,,,,,,,,,,,,,
215,Carlos Boozer,LAL,$3250000,,,,,,,$3250000,,,,,,,,,,
450,Carlos Delfino,LAC,$650000,$650000,$650000,$650000,$650000,,,,,,,,,,,,,
4,Carmelo Anthony,NYK,$22458000,$22875000,$24559380,$26243760,$27928140,,Bird Rights,$96136140,,,,,,,,,,
167,Caron Butler,DET,$4500000,$4500000,,,,,,$4500000,,,,,,,,,,
424,Carrick Felix,UTA,$816482,,,,,,,$816482,,,,,,,,,,
357,Cartier Martin,DET,$1145685,$1270964,,,,,Minimum Salary,$1145685,,,,,,,,,,
29,Chandler Parsons,DAL,$14700000,$15361500,$16023000,,,,Cap Space,$30061500,,,,,,,,,,
82,Channing Frye,ORL,$8175476,$7807579,$7456238,,,,Cap Space,$32000000,,,,,,,,,,
411,Charlie Villanueva,DAL,$1316809,,,,,,Minimum Salary,,,,,,,,,,,
152,Chase Budinger,MIN,$5000000,$5000000,,,,,Bird Rights,$5000000,,,,,,,,,,
140,Chris Andersen,MIA,$5375000,$5000000,,,,,Cap Space,$10375000,,,,,,,,,,
